Id;Description;1CRRefID;DeviceIP;DevicePort;DeviceMAC;DeviceSendTimeout;DeviceReceiveTimeout;DeviceComPort;ZebraIP;ZebraPort;UseOrder;VerScalesUI
1;Линия 10;F1A90176-894E-11EA-9E4C-4CCC6A93A440;;0;;100;100;COM3;192.168.7.127;9100;0;NULL
2;Линия 13;02EDEE6D-8FAA-11EA-9E4C-4CCC6A93A440;;0;;15;50;COM2;192.168.7.127;6101;0;NULL
3;;090A20D0-F3AE-4F02-9520-8EA609EF8333;192.168.6.131;5001;A85E4511FFF9;500;1000;COM4;192.168.7.127;9100;0;
